grid_id,week_start,count,grid_lat,grid_lon,count_lag1,count_lag2,count_lag3,count_lag4,count_roll_mean4,neighbor_mean,target_count_t1,target_bin_t1
-11.42_-77.24,2020-11-10,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-11-17,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-11-24,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-12-01,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-12-08,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-12-15,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-12-22,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2020-12-29,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-01-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-01-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-01-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-01-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-02-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-02-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-02-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-02-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-03-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-03-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-03-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-03-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-03-30,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-04-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-04-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-04-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-04-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-05-04,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-05-11,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-05-18,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-05-25,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-06-01,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-06-08,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-06-15,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-06-22,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-06-29,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-07-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-07-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-07-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-07-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-08-03,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-08-10,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-08-17,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-08-24,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-08-31,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-09-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-09-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-09-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-09-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-10-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-10-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2021-10-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
